"data","LB","UB","R0"
2021-07-09,0.95,0.95,0.95
2021-07-10,0.95,0.95,0.95
2021-07-11,0.95,0.96,0.95
2021-07-12,0.95,0.95,0.95
2021-07-13,0.95,0.96,0.96
2021-07-14,0.95,0.96,0.96
2021-07-15,0.95,0.96,0.95
2021-07-16,0.95,0.96,0.95
2021-07-17,0.95,0.96,0.95
2021-07-18,0.95,0.96,0.95
2021-07-19,0.95,0.96,0.95
2021-07-20,0.95,0.96,0.95
2021-07-21,0.95,0.96,0.96
2021-07-22,0.95,0.96,0.96
2021-07-23,0.95,0.96,0.96
2021-07-24,0.95,0.96,0.96
2021-07-25,0.95,0.96,0.96
2021-07-26,0.95,0.96,0.96
2021-07-27,0.96,0.96,0.96
2021-07-28,0.95,0.96,0.96
2021-07-29,0.96,0.96,0.96
2021-07-30,0.96,0.96,0.96
2021-07-31,0.96,0.96,0.96
2021-08-01,0.96,0.96,0.96
2021-08-02,0.95,0.96,0.96
2021-08-03,0.96,0.96,0.96
2021-08-04,0.95,0.96,0.96
2021-08-05,0.95,0.96,0.96
2021-08-06,0.95,0.96,0.96
2021-08-07,0.95,0.96,0.96
2021-08-08,0.96,0.96,0.96
2021-08-09,0.96,0.97,0.96
2021-08-10,0.96,0.97,0.96
2021-08-11,0.96,0.97,0.97
2021-08-12,0.96,0.97,0.96
2021-08-13,0.96,0.97,0.96
2021-08-14,0.96,0.97,0.96
2021-08-15,0.96,0.97,0.96
2021-08-16,0.96,0.97,0.96
2021-08-17,0.96,0.97,0.96
2021-08-18,0.96,0.96,0.96
2021-08-19,0.96,0.97,0.96
2021-08-20,0.96,0.97,0.97
2021-08-21,0.96,0.97,0.96
2021-08-22,0.96,0.97,0.97
2021-08-23,0.96,0.97,0.96
2021-08-24,0.96,0.97,0.96
2021-08-25,0.96,0.97,0.96
2021-08-26,0.96,0.97,0.96
2021-08-27,0.96,0.97,0.96
2021-08-28,0.96,0.97,0.96
2021-08-29,0.96,0.96,0.96
2021-08-30,0.96,0.97,0.96
2021-08-31,0.96,0.97,0.96
2021-09-01,0.96,0.97,0.96
2021-09-02,0.96,0.97,0.96
2021-09-03,0.96,0.97,0.97
2021-09-04,0.96,0.97,0.97
2021-09-05,0.96,0.97,0.97
2021-09-06,0.97,0.98,0.97
2021-09-07,0.97,0.98,0.97
2021-09-08,0.97,0.98,0.97
2021-09-09,0.97,0.98,0.97
2021-09-10,0.97,0.98,0.97
2021-09-11,0.97,0.98,0.98
2021-09-12,0.97,0.98,0.97
2021-09-13,0.98,0.99,0.98
2021-09-14,0.97,0.98,0.98
2021-09-15,0.97,0.98,0.98
2021-09-16,0.97,0.98,0.98
2021-09-17,0.98,0.98,0.98
2021-09-18,0.98,0.99,0.98
2021-09-19,0.98,0.99,0.98
2021-09-20,0.97,0.98,0.98
2021-09-21,0.97,0.98,0.97
2021-09-22,0.96,0.97,0.96
2021-09-23,0.97,0.98,0.98
2021-09-24,0.96,0.97,0.97
2021-09-25,0.96,0.97,0.97
2021-09-26,0.96,0.97,0.97
2021-09-27,0.96,0.97,0.96
2021-09-28,0.96,0.97,0.96
2021-09-29,0.96,0.97,0.96
2021-09-30,0.96,0.97,0.96
2021-10-01,0.96,0.97,0.97
2021-10-02,0.96,0.97,0.97
2021-10-03,0.97,0.98,0.98
2021-10-04,0.97,0.98,0.97
2021-10-05,0.96,0.98,0.97
2021-10-06,0.97,0.98,0.97
2021-10-07,0.95,0.97,0.96
2021-10-08,0.95,0.97,0.96
2021-10-09,0.96,0.98,0.97
2021-10-10,0.97,0.98,0.97
2021-10-11,0.96,0.98,0.97
2021-10-12,0.96,0.98,0.97
2021-10-13,0.96,0.97,0.96
2021-10-14,0.96,0.97,0.96
2021-10-15,0.96,0.97,0.96
2021-10-16,0.95,0.97,0.96
2021-10-17,0.96,0.97,0.97
2021-10-18,0.95,0.97,0.96
2021-10-19,0.96,0.98,0.97
